code,name
476F,"CORETEL ALABAMA, INC. - AL"
0781,"WEBSHOPPE COMMUNICATIONS, INC. - AL"
208D,"TROY CABLEVISION, INC. - AL"
773F,"MCC TELEPHONY OF THE SOUTH, LLC - AL"
799G,DOVETEL COMMUNICATIONS LLC - AL
0283,BRINDLEE MOUNTAIN TELEPHONE LLC
0280,"ARDMORE TELEPHONE CO., INC."
7451,CENTURYLINK COMMUNICATIONS LLC - AL
7779,KNOLOGY OF AL DBA WOW INTERNET CABLE AND PHONE
6885,SHARP COMMUNICATIONS INC.
363D,"COMCAST PHONE OF ALABAMA, LLC - AL"
327A,"CENTURYLINK COMMUNICATIONS, LLC - AL"
0051,SHELCOMM
947D,FARMERS TELECOMMUNICATIONS CORPORATION - AL
086G,"MCC TELEPHONY OF THE SOUTH, LLC - TN"
4806,"LEVEL 3 COMMUNICATIONS, LLC - TN"
124F,"BANDWIDTH.COM CLEC, LLC - TN"
145J,TERRA NOVA TELECOM INC.
0315,"PINE BELT TELEPHONE CO., INC."
0295,"KNOLOGY TOTAL COMMUNICATIONS, INC."
0302,"WINDSTREAM ALABAMA, INC."
507J,THE VOICE APPLICATION NETWORK LLC
6916,"ELISKA WIRELESS VENTURES SUBSIDIARY I, LLC"
4464,"FRONTIER COMMUNICATIONS OF THE SOUTH, LLC - AL"
4465,"FRONTIER COMMUNICATIONS OF THE SOUTH, LLC - FL"
8300,"TELEPORT COMMUNICATIONS AMERICA, LLC - FL"
937C,"ONVOY, LLC - FL"
625G,"POINT BROADBAND FIBER HOLDING, LLC"
9826,"HARBOR COMMUNICATIONS, LLC - AL"
719E,"ONVOY, LLC - MS"
4936,"TELCOVE OPERATIONS, INC. - AL"
7221,"MCI WORLDCOM COMMUNICATIONS, INC. - AL"
947G,"TELEPAK NETWORKS, INC. - AL"
318J,COMCAST IP PHONE LLC
6581,"CELLULAR SOUTH, INC."
7598,"NEWSOUTH COMMUNICATIONS, INC. DBA UNIVERSALCOM FL"
6031,"AMERICAN MOBILPHONE PAGING, INC."
0306,"FRONTIER COMMUNICATIONS OF ALABAMA, LLC"
0282,"BLOUNTSVILLE TELEPHONE CO., INC."
4802,"LEVEL 3 COMMUNICATIONS, LLC - FL"
0290,"FARMERS TELECOMMUNICATIONS COOPERATIVE, INC."
0389,TRENTON TELEPHONE CO.
781C,"CHARTER FIBERLINK - GEORGIA, LLC - GA"
0284,"BUTLER TELEPHONE CO., INC."
7575,CENTURYLINK COMMUNICATIONS LLC
0311,"OAKMAN TELEPHONE CO., INC."
0285,"CASTLEBERRY TELEPHONE CO., INC."
0304,MILLRY TELEPHONE CO.
0286,"NATIONAL TELEPHONE OF ALABAMA, INC."
983E,"BANDWIDTH.COM CLEC, LLC - GA"
6116,"LEVEL 3 COMMUNICATIONS, LLC - GA"
067D,"ONVOY, LLC  GA"
9417,BELLSOUTH TELECOMM INC DBA SOUTHERN BELL TEL & TEL
919F,"MCC TELEPHONY OF FLORIDA, LLC - FL"
4616,"DELTACOM, INC. - FL"
6502,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL
7562,"COMCAST PHONE OF FLORIDA, LLC - FL"
8773,NETWORK TELEPHONE CORPORATION - FL
982E,"BANDWIDTH.COM CLEC, LLC - FL"
8692,"US LEC OF FLORIDA, INC."
8664,INTERMEDIA COMMUNICATIONS INC. - FL
927D,BRIGHT HOUSE NTWS INFORMATION SVCS (FLORIDA) - FL
838E,"CALLIS COMMUNICATIONS, INC. - FL"
594D,YMAX COMMUNICATIONS CORP. - FL
114J,EXIANT COMMUNICATIONS LLC
742A,"HARBOR COMMUNICATIONS, LLC - FL"
515J,IP HORIZON LLC
902E,"PEERLESS NETWORK OF FLORIDA, LLC - FL"
3914,"WIREGRASS TELCOM, INC. - AL"
0404,"SPJ, INC. - AL"
694F,"TIME WARNER CABLE INFO SVCS (ALABAMA),LLC - AL"
0294,CONSOLIDATED COMMUNICATIONS OF FLORIDA COMPANY
0291,CONSOLIDATED COMMUNICATIONS OF FLORIDA COMPANY
0298,GULF TELEPHONE CO. DBA CENTURYLINK
753A,"HAYNEVILLE FIBER TRANSPORT, INC. - AL"
0322,"UNION SPRINGS TELEPHONE CO., INC."
7476,"POWERTEL NASHVILLE LICENSES, INC."
7977,INTERMEDIA COMMUNICATIONS INC. - TN
6673,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TN
2891,"AENEAS COMMUNICATIONS, LLC - TN"
408D,"COMCAST PHONE OF TENNESSEE, LLC - TN"
8356,"US LEC OF TENNESSEE, INC"
7236,"TELCOVE OF NASHVILLE, LP - TN"
0581,UNITED TELEPHONE COMPANY DBA UNITED COMMUNICATIONS
525E,"ONVOY, LLC - TN"
0371,"KNOLOGY OF THE VALLEY, INC."
0324,"VALLEY TELEPHONE CO., LLC"
4617,"DELTACOM, INC. - GA"
6540,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - GA
7473,"POWERTEL ATLANTA LICENSES, INC."
1769,"FUSION COMMUNICATIONS, LLC"
6698,CELLULAR PAGE
7435,"MCI WORLDCOM COMMUNICATIONS, INC. - GA"
9748,"AMERICAN MESSAGING SERVICES, LLC"
