id,code,description
209,93902,FORT MYERS FL FORT MYERS EAEA
210,949,FAYETTEVILLE NC
211,951,ROCKY MOUNT NC
212,952,GULF COAST
213,953,TALLAHASSEE FL
214,956,BRISTOL TN
215,958,LINCOLN NE
216,960,COEUR D'ALENE ID
217,961,SAN ANGELO TX
218,963,KALISPELL MT (now part of 648)
219,973,PALM SPRINGS CA
220,974,ROCHESTER NY
221,976,MATTOON IL
222,977,MACOMB IL
223,978,OLNEY IL
224,980,NAVAJO RESERVATION AZ
225,981,NAVAJO RESERVATION UT
