regionnum,regionname,exact_match
179,"Virden, MB (CAN)",
180,"Ochre River, MB (CAN)",
181,"Carman, MB (CAN)",
182,"Morden, MB (CAN)",
183,"MacGregor, MB (CAN)",
184,"Libau, MB (CAN)",
185,"Killarney, MB (CAN)",
186,"Camperville, MB (CAN)",
187,"Minitonas, MB (CAN)",
188,"Holland, MB (CAN)",
189,"Ninette, MB (CAN)",
190,"Cartwright, MB (CAN)",
191,"Binscarth, MB (CAN)",
192,"Baldur, MB (CAN)",
193,"Belmont, MB (CAN)",
194,"Oxford House, MB (CAN)",
195,"Benito, MB (CAN)",
196,"Mafeking, MB (CAN)",
197,"Grandview, MB (CAN)",
198,"Dauphin, MB (CAN)",
199,"Gilbert Plains, MB (CAN)",
200,"Pukatawagan, MB (CAN)",
201,"Cromer, MB (CAN)",
202,"Shoal Lake, MB (CAN)",
203,"Crandall, MB (CAN)",
204,"Inglis, MB (CAN)",
205,"Shamattawa, MB (CAN)",
206,"Oak River, MB (CAN)",
207,"Miniota, MB (CAN)",
208,"Beulah, MB (CAN)",
209,"Cowan, MB (CAN)",
210,"Sandy Lake, MB (CAN)",
211,"Reston, MB (CAN)",
212,"Pelican Rapids, MB (CAN)",
213,"Anola, MB (CAN)",
214,"Amaranth, MB (CAN)",
215,"Treherne, MB (CAN)",
216,"Hartney, MB (CAN)",
217,"The Pas, MB (CAN)",
218,"Elphinstone, MB (CAN)",
219,"Sperling, MB (CAN)",
220,"Waterhen, MB (CAN)",
221,"Pierson, MB (CAN)",
222,"Gull Lake, MB (CAN)",
223,"Erickson, MB (CAN)",
224,"Austin, MB (CAN)",
225,"St Laurent, MB (CAN)",
226,"Fraserwood, MB (CAN)",
227,"Lyleton, MB (CAN)",
228,"Gillam, MB (CAN)",
229,"Sifton, MB (CAN)",
230,"Winnipegosis, MB (CAN)",
231,"Fork River, MB (CAN)",
232,"Goodlands, MB (CAN)",
233,"Gypsumville, MB (CAN)",
234,"Poplarfield, MB (CAN)",
235,"Medora, MB (CAN)",
236,"Waskada, MB (CAN)",
237,"Churchill, MB (CAN)",
238,"Cross Lake, MB (CAN)",
239,"Moose Lake, MB (CAN)",
240,"Wanless, MB (CAN)",
241,"St Lazare, MB (CAN)",
242,"Tadoule Lake, MB (CAN)",
243,"Tilston, MB (CAN)",
244,"Wabowden, MB (CAN)",
245,"Deloraine, MB (CAN)",
246,"Lundar, MB (CAN)",
247,"Douglas, MB (CAN)",
248,"Carberry, MB (CAN)",
249,"McAuley, MB (CAN)",
250,"Rorketon, MB (CAN)",
251,"Starbuck, MB (CAN)",
252,"Letellier, MB (CAN)",
253,"Ethelbert, MB (CAN)",
254,"Cypress River, MB (CAN)",
255,"Somerset, MB (CAN)",
256,"Rathwell, MB (CAN)",
257,"Alexander, MB (CAN)",
258,"Pinawa, MB (CAN)",
259,"Grand Beach, MB (CAN)",
260,"Hazelridge, MB (CAN)",
261,"Lockport, MB (CAN)",
262,"St Jean Baptiste, MB (CAN)",
263,"Hamiota, MB (CAN)",
264,"Alonsa, MB (CAN)",
265,"Elgin, MB (CAN)",
266,"Russell, MB (CAN)",
267,"Minto, MB (CAN)",
268,"Wawanesa, MB (CAN)",
269,"Rapid City, MB (CAN)",
270,"Glenboro, MB (CAN)",
271,"Stephenfield, MB (CAN)",
272,"Plum Coulee, MB (CAN)",
273,"McCreary, MB (CAN)",
274,"Swan Lake, MB (CAN)",
275,"Kenton, MB (CAN)",
276,"St Francois Xavier, MB (CAN)",
277,"Birtle, MB (CAN)",
278,"Elkhorn, MB (CAN)",
279,"Foxwarren, MB (CAN)",
280,"Clear Lake, MB (CAN)",
281,"Newdale, MB (CAN)",
282,"Pipestone, MB (CAN)",
283,"Oak Lake, MB (CAN)",
284,"Rossburn, MB (CAN)",
285,"Clanwilliam, MB (CAN)",
286,"Crystal City, MB (CAN)",
287,"Basswood, MB (CAN)",
288,"Snowflake, MB (CAN)",
289,"Ste Agathe, MB (CAN)",
290,"St Adolphe, MB (CAN)",
291,"Pointe du Bois, MB (CAN)",
292,"Eden, MB (CAN)",
293,"Kelwood, MB (CAN)",
294,"Springville, AL (BEN)",
295,"Birmingham, AL (BEN)",
296,"Tuscaloosa, AL (BEN)",
297,"Alabaster, AL (BEN)",
298,"Clanton, AL (BEN)",
299,"Jasper, AL (BEN)",
300,"Centreville, AL (BEN)",
301,"Pell City, AL (BEN)",
302,"Trussville, AL (BEN)",
303,"Bessemer, AL (BEN)",
304,"Winfield, AL (BEN)",
305,"Dora, AL (BEN)",
306,"Oneonta, AL (BEN)",
307,"Thorsby, AL (BEN)",
308,"Haleyville, AL (BEN)",
309,"Fayette, AL (BEN)",
310,"Double Springs, AL (BEN)",
311,"Detroit, AL (BEN)",
312,"Gardendale, AL (BEN)",
313,"West Blocton, AL (BEN)",
314,"Warrior, AL (BEN)",
315,"Vincent, AL (BEN)",
316,"Eutaw, AL (BEN)",
317,"Pinson, AL (BEN)",
318,"Butler, AL (BEN)",
319,"Calera, AL (BEN)",
320,"Leeds, AL (BEN)",
321,"Lincoln, AL (BEN)",
322,"Walnut Grove, AL (BEN)",
323,"Odenville, AL (BEN)",
324,"Blountsville, AL (BEN)",
325,"Gordo, AL (BEN)",
326,"Carrollton, AL (BEN)",
327,"Moundville, AL (BEN)",
328,"Aliceville, AL (BEN)",
329,"Reform, AL (BEN)",
330,"York, AL (BEN)",
331,"Graysville, AL (BEN)",
332,"Lisman, AL (BEN)",
333,"Guin, AL (BEN)",
334,"Hamilton, AL (BEN)",
335,"Vernon, AL (BEN)",
336,"Surfside, AL (BEN)",
337,"Panola, AL (BEN)",
338,"Snead, AL (BEN)",
339,"Brilliant, AL (BEN)",
340,"Ragland, AL (BEN)",
341,"Montevallo, AL (BEN)",
342,"Cordova, AL (BEN)",
343,"Livingston (Sumter), AL (BEN)",
344,"Carbon Hill, AL (BEN)",
345,"Phil Campbell, AL (BEN)",
346,"Nectar, AL (BEN)",
347,"Jemison, AL (BEN)",
348,"Ashville, AL (BEN)",
349,"Kennedy, AL (BEN)",
350,"Sulligent, AL (BEN)",
351,"Columbiana, AL (BEN)",
352,"Chelsea, AL (BEN)",
353,"Berry, AL (BEN)",
354,"Oakman, AL (BEN)",
355,"Pennington, AL (BEN)",
356,"Ethelsville, AL (BEN)",
357,"Millport, AL (BEN)",
358,"Needham, AL (BEN)",
359,"Parrish, AL (BEN)",
360,"Nauvoo, AL (BEN)",
361,"Hackleburg, AL (BEN)",
362,"Flatwood, AL (BEN)",
363,"Lynn, AL (BEN)",
364,"Seattle, WA (AUS)",
365,"Bainbridge Island, WA (AUS)",
366,"Des Moines, WA (AUS)",
367,"Richmond Beach, WA (AUS)",
368,"Vashon, WA (AUS)",
369,"Portland, ME (TCD)",
370,"Gardiner, ME (TCD)",
371,"Kennebunkport, ME (TCD)",
372,"Biddeford, ME (TCD)",
373,"Sanford, ME (TCD)",
374,"Brunswick, ME (TCD)",
375,"Lewiston, ME (TCD)",
376,"Augusta, ME (TCD)",
377,"Calais, ME (TCD)",
378,"Wells, ME (TCD)",
379,"Bangor, ME (TCD)",
380,"Belfast, ME (TCD)",
381,"Scarborough, ME (TCD)",
382,"Oxford, ME (TCD)",
383,"Gorham, ME (TCD)",
384,"Winterport, ME (TCD)",
385,"North Turner, ME (TCD)",
386,"Turner, ME (TCD)",
387,"Rockland, ME (TCD)",
388,"Presque Isle, ME (TCD)",
389,"Camden, ME (TCD)",
390,"Fort Kent, ME (TCD)",
391,"Newburgh, ME (TCD)",
392,"Carrabassett, ME (TCD)",
393,"Bigelow, ME (TCD)",
394,"Fairfield, ME (TCD)",
395,"Moosehorn, ME (TCD)",
396,"Southwest Harbor, ME (TCD)",
397,"Stratton, ME (TCD)",
398,"Waterboro, ME (TCD)",
399,"Waterville, ME (TCD)",
400,"Houlton, ME (TCD)",
401,"Machias, ME (TCD)",
402,"Fryeburg, ME (TCD)",
403,"Plymouth, ME (TCD)",
404,"Millinocket, ME (TCD)",
405,"Kingfield, ME (TCD)",
406,"Ellsworth, ME (TCD)",
407,"Smyrna Mills, ME (TCD)",
408,"Litchfield, ME (TCD)",
409,"Etna, ME (TCD)",
410,"Dexter, ME (TCD)",
411,"Warren, ME (TCD)",
412,"Northeast Harbor, ME (TCD)",
413,"West Ripley, ME (TCD)",
414,"Corinna, ME (TCD)",
415,"Brownville, ME (TCD)",
416,"Greenville, ME (TCD)",
417,"Corinth, ME (TCD)",
418,"Bar Harbor, ME (TCD)",
419,"Lincoln, ME (TCD)",
420,"Harrison, ME (TCD)",
421,"Mount Vernon, ME (TCD)",
422,"Stetson, ME (TCD)",
423,"Coburn Gore, ME (TCD)",
424,"Bar Mills, ME (TCD)",
425,"Raymond, ME (TCD)",
426,"Wiscasset, ME (TCD)",
427,"Farmington, ME (TCD)",
428,"Belgrade, ME (TCD)",
429,"Windham, ME (TCD)",
430,"Boothbay Harbor, ME (TCD)",
431,"Madawaska, ME (TCD)",
432,"Livermore Falls, ME (TCD)",
433,"Limestone, ME (TCD)",
434,"Castine, ME (TCD)",
435,"Bradford, ME (TCD)",
436,"Frenchboro, ME (TCD)",
437,"Isle au Haut, ME (TCD)",
438,"Buckfield, ME (TCD)",
439,"York, ME (TCD)",
440,"South Lebanon, ME (TCD)",
441,"Newport, ME (TCD)",
442,"Morrill, ME (TCD)",
443,"Guilford, ME (TCD)",
444,"Mechanic Falls, ME (TCD)",
445,"Deer Isle, ME (TCD)",
446,"Lisbon Falls, ME (TCD)",
447,"Thomaston, ME (TCD)",
448,"Rumford, ME (TCD)",
449,"Sedgwick, ME (TCD)",
450,"Smithfield, ME (TCD)",
451,"Sherman Mills, ME (TCD)",
452,"Matinicus, ME (TCD)",
453,"Bath, ME (TCD)",
