regionnum,regionname,exact_match
6327,"White Springs, FL (MUS)",
6328,"Jennings, FL (MUS)",
6329,"Pomona Park, FL (MUS)",
6330,"Wellborn, FL (MUS)",
6331,"Raiford, FL (MUS)",
6332,"Luraville, FL (MUS)",
6333,"Fort White, FL (MUS)",
6334,"Alachua, FL (MUS)",
6335,"Flagler Beach, FL (MUS)",
6336,"DeLeon Springs, FL (MUS)",
6337,"DeLand, FL (MUS)",
6338,"Mayo, FL (MUS)",
6339,"Florida Sheriffs Boys Ranch, FL (MUS)",
6340,"Welaka, FL (MUS)",
6341,"Branford, FL (MUS)",
6342,"Florahome, FL (MUS)",
6343,"Florahome (Clay), FL (MUS)",
6344,"Bristol, RI (BHS)",
6345,"Greenwich, RI (BHS)",
6346,"Pawtucket, RI (BHS)",
6347,"West Warwick, RI (BHS)",
6348,"Narragansett, RI (BHS)",
6349,"Providence, RI (BHS)",
6350,"Block Island, RI (BHS)",
6351,"Hope Valley, RI (BHS)",
6352,"Carolina, RI (BHS)",
6353,"Woonsocket, RI (BHS)",
6354,"West Glocester, RI (BHS)",
6355,"Scituate, RI (BHS)",
6356,"Centredale, RI (BHS)",
6357,"Newport, RI (BHS)",
6358,"Warren, RI (BHS)",
6359,"Warwick, RI (BHS)",
6360,"Coventry, RI (BHS)",
6361,"Portsmouth, RI (BHS)",
6362,"Cumberland Hill, RI (BHS)",
6363,"North Kingstown, RI (BHS)",
6364,"Little Compton, RI (BHS)",
6365,"Pascoag, RI (BHS)",
6366,"Tiverton, RI (BHS)",
6367,"Westerly, RI (BHS)",
6368,"Jamestown, RI (BHS)",
6369,"Hebron, NE (BHS)",
6370,"Omaha, NE (BHS)",
6371,"Lincoln, NE (BHS)",
6372,"York, NE (BHS)",
6373,"Beatrice, NE (BHS)",
6374,"Superior, NE (BHS)",
6375,"Nebraska City, NE (BHS)",
6376,"Edgar, NE (BHS)",
6377,"Nelson, NE (BHS)",
6378,"Ruskin, NE (BHS)",
6379,"Nehawka, NE (BHS)",
6380,"Verdel, NE (BHS)",
6381,"Louisville, NE (BHS)",
6382,"Murray, NE (BHS)",
6383,"Byron, NE (BHS)",
6384,"Blair, NE (BHS)",
6385,"South Sioux City, NE (BHS)",
6386,"Julian, NE (BHS)",
6387,"Tobias, NE (BHS)",
6388,"Newport, NE (BHS)",
6389,"Falls City, NE (BHS)",
6390,"Platte Center, NE (BHS)",
6391,"North Mahaska, NE (BHS)",
6392,"North Summerfield, NE (BHS)",
6393,"Stromsburg, NE (BHS)",
6394,"Valentine, NE (BHS)",
6395,"Hartington, NE (BHS)",
6396,"Laurel, NE (BHS)",
6397,"Guide Rock, NE (BHS)",
6398,"Bennet, NE (BHS)",
6399,"Dunbar, NE (BHS)",
6400,"West Point, NE (BHS)",
6401,"Deweese, NE (BHS)",
6402,"Union, NE (BHS)",
6403,"Talmage, NE (BHS)",
6404,"Otoe, NE (BHS)",
6405,"Exeter, NE (BHS)",
6406,"Weeping Water, NE (BHS)",
6407,"Fairmont, NE (BHS)",
6408,"Syracuse, NE (BHS)",
6409,"Columbus, NE (BHS)",
6410,"Long Pine, NE (BHS)",
6411,"Auburn, NE (BHS)",
6412,"Avoca, NE (BHS)",
6413,"Wahoo, NE (BHS)",
6414,"Kennard, NE (BHS)",
6415,"Hardy, NE (BHS)",
6416,"Grafton, NE (BHS)",
6417,"Coleridge, NE (BHS)",
6418,"Ong, NE (BHS)",
6419,"Creston, NE (BHS)",
6420,"Winside, NE (BHS)",
6421,"Wakefield, NE (BHS)",
6422,"Center, NE (BHS)",
6423,"Ohiowa, NE (BHS)",
6424,"Plattsmouth, NE (BHS)",
6425,"Fairbury, NE (BHS)",
6426,"Norfolk, NE (BHS)",
6427,"Hastings, NE (BHS)",
6428,"Tekamah, NE (BHS)",
6429,"Fremont, NE (BHS)",
6430,"Chester, NE (BHS)",
6431,"Pierce, NE (BHS)",
6432,"Tecumseh, NE (BHS)",
6433,"O'Neill, NE (BHS)",
6434,"Randolph, NE (BHS)",
6435,"Page, NE (BHS)",
6436,"Decatur, NE (BHS)",
6437,"Schuyler, NE (BHS)",
6438,"Bruning, NE (BHS)",
6439,"Newcastle, NE (BHS)",
6440,"Carleton, NE (BHS)",
6441,"Wynot-Fordyce-St Helena, NE (BHS)",
6442,"Creighton, NE (BHS)",
6443,"Davenport, NE (BHS)",
6444,"Deshler, NE (BHS)",
6445,"David City, NE (BHS)",
6446,"Tilden, NE (BHS)",
6447,"Wayne, NE (BHS)",
6448,"Bloomfield, NE (BHS)",
6449,"Craig, NE (BHS)",
6450,"Crete, NE (BHS)",
6451,"Ainsworth, NE (BHS)",
6452,"West Hamburg, NE (BHS)",
6453,"Pender, NE (BHS)",
6454,"Petersburg, NE (BHS)",
6455,"Crofton, NE (BHS)",
6456,"Inman, NE (BHS)",
6457,"Albion, NE (BHS)",
6458,"Pilger, NE (BHS)",
6459,"Friend, NE (BHS)",
6460,"Sutton, NE (BHS)",
6461,"Jansen, NE (BHS)",
6462,"Crookston, NE (BHS)",
6463,"Lindsay, NE (BHS)",
6464,"Western, NE (BHS)",
6465,"Stanton, NE (BHS)",
6466,"Steele City, NE (BHS)",
6467,"Daykin, NE (BHS)",
6468,"Newman Grove, NE (BHS)",
6469,"Swanton, NE (BHS)",
6470,"Madison, NE (BHS)",
6471,"Herman, NE (BHS)",
6472,"Fort Calhoun, NE (BHS)",
6473,"Arlington, NE (BHS)",
6474,"Chambers, NE (BHS)",
6475,"Clearwater, NE (BHS)",
6476,"Leigh, NE (BHS)",
6477,"Monroe, NE (BHS)",
6478,"Springview, NE (BHS)",
6479,"Ashland, NE (BHS)",
6480,"Tamora, NE (BHS)",
6481,"Surprise, NE (BHS)",
6482,"Shelby, NE (BHS)",
6483,"Beemer, NE (BHS)",
6484,"Wisner, NE (BHS)",
6485,"Beaver Crossing, NE (BHS)",
6486,"Utica, NE (BHS)",
6487,"Staplehurst, NE (BHS)",
6488,"Bellwood, NE (BHS)",
6489,"Octavia, NE (BHS)",
6490,"Rising City, NE (BHS)",
6491,"Bruno, NE (BHS)",
6492,"Brainard, NE (BHS)",
6493,"Ulysses, NE (BHS)",
6494,"Hoskins, NE (BHS)",
6495,"Dwight, NE (BHS)",
6496,"Uehling, NE (BHS)",
6497,"Snyder, NE (BHS)",
6498,"Lynch, NE (BHS)",
6499,"Cordova, NE (BHS)",
6500,"Plainview, NE (BHS)",
6501,"Bristow, NE (BHS)",
6502,"Dixon, NE (BHS)",
6503,"Carroll, NE (BHS)",
6504,"Wausa, NE (BHS)",
6505,"Garland, NE (BHS)",
6506,"Spencer, NE (BHS)",
6507,"Osceola, NE (BHS)",
6508,"Aurora, NE (BHS)",
6509,"Ithaca, NE (BHS)",
6510,"Mead, NE (BHS)",
6511,"Yutan, NE (BHS)",
6512,"Ewing, NE (BHS)",
6513,"Shickley, NE (BHS)",
6514,"Cedar Bluffs, NE (BHS)",
6515,"Milligan, NE (BHS)",
6516,"Jackson, NE (BHS)",
6517,"Meadow Grove, NE (BHS)",
6518,"Allen, NE (BHS)",
6519,"Waterbury, NE (BHS)",
6520,"Seward, NE (BHS)",
6521,"Weston, NE (BHS)",
6522,"Wymore, NE (BHS)",
6523,"Colon, NE (BHS)",
6524,"Bancroft, NE (BHS)",
6525,"North Bend, NE (BHS)",
6526,"South Bonesteel, NE (BHS)",
6527,"Hooper, NE (BHS)",
6528,"Walnut, NE (BHS)",
6529,"Plymouth, NE (BHS)",
6530,"Filley, NE (BHS)",
6531,"Prague, NE (BHS)",
6532,"Scribner, NE (BHS)",
6533,"Ceresco, NE (BHS)",
6534,"Linwood-Morse Bluff, NE (BHS)",
6535,"South Yankton, NE (BHS)",
6536,"Verdigre, NE (BHS)",
6537,"Pickrell, NE (BHS)",
6538,"Barneston, NE (BHS)",
6539,"Battle Creek, NE (BHS)",
6540,"St Edward, NE (BHS)",
6541,"De Witt, NE (BHS)",
6542,"Bassett, NE (BHS)",
6543,"Oakland, NE (BHS)",
6544,"Virginia, NE (BHS)",
6545,"Dodge, NE (BHS)",
6546,"Emerson, NE (BHS)",
6547,"Liberty, NE (BHS)",
6548,"Homer, NE (BHS)",
6549,"Denton, NE (BHS)",
6550,"Geneva, NE (BHS)",
6551,"Johnstown, NE (BHS)",
6552,"Henderson, NE (BHS)",
6553,"McCool Junction, NE (BHS)",
6554,"Hampton, NE (BHS)",
6555,"Fairfield, NE (BHS)",
6556,"Waco, NE (BHS)",
6557,"Benedict, NE (BHS)",
6558,"Gresham, NE (BHS)",
6559,"Bradshaw, NE (BHS)",
6560,"Stockham, NE (BHS)",
6561,"Trumbull, NE (BHS)",
6562,"Hansen, NE (BHS)",
6563,"Red Cloud, NE (BHS)",
6564,"Osmond, NE (BHS)",
6565,"Alexandria, NE (BHS)",
6566,"Juniata, NE (BHS)",
6567,"Kenesaw, NE (BHS)",
6568,"Harbine, NE (BHS)",
6569,"Ponca, NE (BHS)",
6570,"Blue Hill, NE (BHS)",
6571,"Hordville, NE (BHS)",
6572,"Milford, NE (BHS)",
6573,"Clay Center, NE (BHS)",
6574,"Polk, NE (BHS)",
6575,"Odell, NE (BHS)",
6576,"Glenvil, NE (BHS)",
6577,"Harvard, NE (BHS)",
6578,"South Burke, NE (BHS)",
6579,"Butte, NE (BHS)",
6580,"Oakdale, NE (BHS)",
6581,"Palmyra, NE (BHS)",
6582,"Eagle, NE (BHS)",
6583,"Raymond, NE (BHS)",
6584,"Valparaiso, NE (BHS)",
6585,"Davey, NE (BHS)",
6586,"Waverly, NE (BHS)",
6587,"Hallam, NE (BHS)",
6588,"Panama, NE (BHS)",
6589,"Greenwood, NE (BHS)",
6590,"Firth, NE (BHS)",
6591,"Hickman, NE (BHS)",
6592,"Diller, NE (BHS)",
6593,"Martell, NE (BHS)",
6594,"Pleasant Dale, NE (BHS)",
6595,"Malcolm, NE (BHS)",
6596,"Cortland, NE (BHS)",
6597,"Douglas, NE (BHS)",
6598,"Wilber, NE (BHS)",
6599,"Cody, NE (BHS)",
6600,"Nemaha, NE (BHS)",
6601,"Brownville, NE (BHS)",
6602,"Unadilla, NE (BHS)",
6603,"Naper, NE (BHS)",
6604,"Macy, NE (BHS)",
6605,"Table Rock, NE (BHS)",
6606,"Brunswick, NE (BHS)",
6607,"Elgin, NE (BHS)",
6608,"Doniphan, NE (BHS)",
6609,"Walthill, NE (BHS)",
6610,"Winnetoon, NE (BHS)",
6611,"Burr, NE (BHS)",
6612,"Giltner, NE (BHS)",
6613,"Pawnee City, NE (BHS)",
6614,"Marquette, NE (BHS)",
6615,"Dawson, NE (BHS)",
6616,"Brock, NE (BHS)",
6617,"Niobrara, NE (BHS)",
6618,"Dubois, NE (BHS)",
6619,"Humboldt, NE (BHS)",
6620,"Rosalie, NE (BHS)",
6621,"Cook, NE (BHS)",
6622,"Burchard, NE (BHS)",
6623,"Sterling, NE (BHS)",
6624,"Murdock, NE (BHS)",
6625,"Johnson, NE (BHS)",
6626,"Steinauer, NE (BHS)",
6627,"Peru, NE (BHS)",
6628,"Crab Orchard, NE (BHS)",
6629,"Elk Creek, NE (BHS)",
6630,"Winnebago, NE (BHS)",
6631,"Tri City, NE (BHS)",
6632,"Phillips, NE (BHS)",
6633,"Neligh, NE (BHS)",
6634,"Clarkson, NE (BHS)",
6635,"Orchard, NE (BHS)",
6636,"Duncan, NE (BHS)",
6637,"Humphrey, NE (BHS)",
6638,"Stuart, NE (BHS)",
6639,"Atkinson, NE (BHS)",
6640,"Dorchester, NE (BHS)",
6641,"Genoa, NE (BHS)",
6642,"Kilgore, NE (BHS)",
6643,"Wood Lake, NE (BHS)",
6644,"South Gregory, NE (BHS)",
6645,"Belden, NE (BHS)",
6646,"Howells, NE (BHS)",
6647,"Adams, NE (BHS)",
6648,"Clatonia, NE (BHS)",
6649,"Elmwood, NE (BHS)",
6650,"Wrentham, AB (CAN)",
6651,"Taber, AB (CAN)",
6652,"Bowden, AB (CAN)",
6653,"Innisfail, AB (CAN)",
6654,"Okotoks, AB (CAN)",
6655,"Lethbridge, AB (CAN)",
6656,"Airdrie, AB (CAN)",
6657,"Drumheller, AB (CAN)",
6658,"Rocky Mountain House, AB (CAN)",
6659,"Stettler, AB (CAN)",
6660,"Strathmore, AB (CAN)",
6661,"Cereal, AB (CAN)",
6662,"Didsbury, AB (CAN)",
6663,"High River, AB (CAN)",
6664,"Carstairs, AB (CAN)",
6665,"Pincher Creek, AB (CAN)",
6666,"Coutts, AB (CAN)",
6667,"Coaldale, AB (CAN)",
6668,"Brooks, AB (CAN)",
6669,"Delia, AB (CAN)",
6670,"Rumsey, AB (CAN)",
6671,"Crowsnest Pass, AB (CAN)",
6672,"Tilley, AB (CAN)",
6673,"Duchess, AB (CAN)",
6674,"Bindloss, AB (CAN)",
6675,"Cayley, AB (CAN)",
6676,"Three Hills, AB (CAN)",
6677,"Coronation, AB (CAN)",
6678,"Oyen, AB (CAN)",
6679,"Olds, AB (CAN)",
6680,"Veteran, AB (CAN)",
6681,"Sundre, AB (CAN)",
6682,"Warner, AB (CAN)",
6683,"Vulcan, AB (CAN)",
6684,"Vauxhall, AB (CAN)",
6685,"Banff, AB (CAN)",
6686,"Lake Louise, AB (CAN)",
6687,"Hanna, AB (CAN)",
6688,"Trochu, AB (CAN)",
6689,"Consort, AB (CAN)",
6690,"Cardston, AB (CAN)",
6691,"Medicine Hat, AB (CAN)",
6692,"Claresholm, AB (CAN)",
6693,"Milk River, AB (CAN)",
6694,"Canmore, AB (CAN)",
6695,"Rockyford, AB (CAN)",
6696,"Arrowwood, AB (CAN)",
6697,"Ralston, AB (CAN)",
6698,"Bow Island, AB (CAN)",
6699,"Acme, AB (CAN)",
6700,"Stavely, AB (CAN)",
6701,"Altario, AB (CAN)",
6702,"Fort MacLeod, AB (CAN)",
6703,"Longview, AB (CAN)",
6704,"Empress, AB (CAN)",
6705,"Cessford, AB (CAN)",
6706,"Carbon, AB (CAN)",
6707,"Penhold, AB (CAN)",
6708,"Gadsby, AB (CAN)",
6709,"Byemoor, AB (CAN)",
6710,"Kananaskis, AB (CAN)",
6711,"Milo, AB (CAN)",
6712,"Blackfalds, AB (CAN)",
6713,"Glenwood, AB (CAN)",
6714,"Cowley, AB (CAN)",
6715,"Torrington, AB (CAN)",
6716,"Cremona, AB (CAN)",
6717,"Granum, AB (CAN)",
6718,"Bassano, AB (CAN)",
6719,"Carmangay, AB (CAN)",
6720,"Standard, AB (CAN)",
6721,"Nanton, AB (CAN)",
6722,"Grassy Lake, AB (CAN)",
6723,"Bentley, AB (CAN)",
6724,"Craigmyle, AB (CAN)",
6725,"Etzikom, AB (CAN)",
6726,"Exshaw, AB (CAN)",
6727,"Sibbald, AB (CAN)",
6728,"Rosebud, AB (CAN)",
6729,"Blackie, AB (CAN)",
6730,"Ponoka, AB (CAN)",
6731,"Cochrane, AB (CAN)",
6732,"Nordegg, AB (CAN)",
6733,"Caroline, AB (CAN)",
6734,"Hays, AB (CAN)",
6735,"Spruce View, AB (CAN)",
6736,"Leslieville, AB (CAN)",
6737,"Picture Butte, AB (CAN)",
6738,"New Dayton, AB (CAN)",
6739,"Gleichen, AB (CAN)",
6740,"Stand Off, AB (CAN)",
6741,"Iron Springs, AB (CAN)",
6742,"Enchant, AB (CAN)",
6743,"Eckville, AB (CAN)",
6744,"Alix, AB (CAN)",
6745,"Delburne, AB (CAN)",
6746,"Raymond, AB (CAN)",
6747,"Stirling, AB (CAN)",
6748,"Barons, AB (CAN)",
6749,"Magrath, AB (CAN)",
6750,"Saskatchewan River Crossing, AB (CAN)",
6751,"Morrin, AB (CAN)",
6752,"Elnora, AB (CAN)",
6753,"Youngstown, AB (CAN)",
6754,"Lacombe, AB (CAN)",
6755,"Clive, AB (CAN)",
6756,"Hussar, AB (CAN)",
6757,"Mirror, AB (CAN)",
6758,"Lomond, AB (CAN)",
6759,"East Coulee, AB (CAN)",
6760,"Nobleford, AB (CAN)",
6761,"Seven Persons, AB (CAN)",
6762,"Burdett, AB (CAN)",
6763,"Irvine, AB (CAN)",
6764,"Hilda, AB (CAN)",
6765,"Schuler, AB (CAN)",
6766,"Rimbey, AB (CAN)",
6767,"Sylvan Lake, AB (CAN)",
6768,"Waterton Park, AB (CAN)",
6769,"Foremost, AB (CAN)",
6770,"Manyberries, AB (CAN)",
6771,"Big Valley, AB (CAN)",
6772,"Morley, AB (CAN)",
6773,"Castor, AB (CAN)",
6774,"Donalda, AB (CAN)",
6775,"Halkirk, AB (CAN)",
6776,"Elkwater, AB (CAN)",
6777,"Champion, AB (CAN)",
6778,"Jenner, AB (CAN)",
6779,"Turner Valley, AB (CAN)",
6780,"Irricana, AB (CAN)",
6781,"Langdon, AB (CAN)",
6782,"Walsh, AB (CAN)",
6783,"Crossfield, AB (CAN)",
6784,"Beiseker, AB (CAN)",
6785,"Bragg Creek, AB (CAN)",
6786,"Rolling Hills, AB (CAN)",
6787,"Brocket, AB (CAN)",
6788,"Acadia Valley, AB (CAN)",
6789,"Sunchild O'Chiese, AB (CAN)",
6790,"Atlanta, GA (AZE)",
6791,"Oklahoma City, OK (USA)",
6792,"Pauls Valley, OK (USA)",
6793,"Shawnee, OK (USA)",
6794,"Edmond, OK (USA)",
6795,"Norman, OK (USA)",
6796,"Seminole, OK (USA)",
6797,"Holdenville, OK (USA)",
6798,"Chickasha, OK (USA)",
6799,"Arcadia, OK (USA)",
6800,"Moore, OK (USA)",
6801,"Chandler, OK (USA)",
6802,"Britton, OK (USA)",
6803,"Hinton, OK (USA)",
6804,"Anadarko, OK (USA)",
6805,"Wynnewood, OK (USA)",
6806,"Mustang, OK (USA)",
6807,"Wewoka, OK (USA)",
6808,"Nicoma Park, OK (USA)",
6809,"Guthrie, OK (USA)",
6810,"Wheatland, OK (USA)",
6811,"El Reno, OK (USA)",
6812,"Okarche, OK (USA)",
6813,"Yukon, OK (USA)",
6814,"Wanette, OK (USA)",
6815,"Byars, OK (USA)",
6816,"Stillwater, OK (USA)",
6817,"Luther, OK (USA)",
6818,"Meeker, OK (USA)",
6819,"Choctaw, OK (USA)",
6820,"Piedmont, OK (USA)",
6821,"Cedar Lake, OK (USA)",
6822,"Tecumseh, OK (USA)",
6823,"Washington, OK (USA)",
6824,"St Louis, OK (USA)",
6825,"Noble, OK (USA)",
6826,"Cromwell, OK (USA)",
6827,"Kingfisher, OK (USA)",
6828,"Calvin, OK (USA)",
6829,"Harrah, OK (USA)",
6830,"Pearson, OK (USA)",
6831,"Weleetka, OK (USA)",
6832,"Dibble, OK (USA)",
6833,"Alex, OK (USA)",
6834,"Minco, OK (USA)",
6835,"Wellston, OK (USA)",
6836,"Tuttle, OK (USA)",
6837,"Bethany, OK (USA)",
6838,"Maud, OK (USA)",
6839,"Stella, OK (USA)",
6840,"Newcastle, OK (USA)",
6841,"Wetumka, OK (USA)",
6842,"Newalla, OK (USA)",
6843,"Bowlegs, OK (USA)",
6844,"Jones, OK (USA)",
6845,"Lindsay, OK (USA)",
6846,"Cashion, OK (USA)",
6847,"Purcell, OK (USA)",
6848,"Wayne, OK (USA)",
6849,"Verden, OK (USA)",
6850,"Midwest City, OK (USA)",
6851,"Lookeba, OK (USA)",
6852,"Pocasset, OK (USA)",
6853,"Asher, OK (USA)",
6854,"Bradley, OK (USA)",
6855,"Rosedale, OK (USA)",
6856,"Union City, OK (USA)",
6857,"Paoli, OK (USA)",
6858,"Blanchard, OK (USA)",
6859,"Cement, OK (USA)",
6860,"Colony, OK (USA)",
6861,"Perkins, OK (USA)",
6862,"Prague, OK (USA)",
6863,"Earlsboro, OK (USA)",
6864,"Mulhall, OK (USA)",
6865,"Meridian, OK (USA)",
6866,"Fort Cobb, OK (USA)",
6867,"Carney, OK (USA)",
6868,"Binger, OK (USA)",
6869,"Hydro, OK (USA)",
6870,"Loyal, OK (USA)",
6871,"Spencer, OK (USA)",
6872,"Eakly, OK (USA)",
6873,"Dover, OK (USA)",
6874,"Tribbey, OK (USA)",
6875,"Hennessey, OK (USA)",
6876,"Paden, OK (USA)",
6877,"Maysville, OK (USA)",
6878,"Geary, OK (USA)",
6879,"Calumet, OK (USA)",
6880,"Sasakwa, OK (USA)",
6881,"McLoud, OK (USA)",
6882,"Gracemont, OK (USA)",
6883,"Crescent, OK (USA)",
6884,"Billings, MT (ALB)",
6885,"Forsyth, MT (ALB)",
6886,"Helena, MT (ALB)",
6887,"Missoula, MT (ALB)",
6888,"Great Falls, MT (ALB)",
6889,"Bozeman, MT (ALB)",
6890,"Seeley Lake, MT (ALB)",
6891,"Kalispell, MT (ALB)",
6892,"Colstrip, MT (ALB)",
6893,"Livingston, MT (ALB)",
6894,"Butte, MT (ALB)",
6895,"Boulder, MT (ALB)",
6896,"East Glacier Park, MT (ALB)",
6897,"Glasgow, MT (ALB)",
6898,"Cut Bank, MT (ALB)",
6899,"Miles City, MT (ALB)",
6900,"Miles City (Mid-Rivers), MT (ALB)",
6901,"Wolf Creek, MT (ALB)",
6902,"Neihart, MT (ALB)",
6903,"Thompson Falls, MT (ALB)",
6904,"Potomac, MT (ALB)",
6905,"Dixon, MT (ALB)",
6906,"Havre, MT (ALB)",
6907,"Fort Shaw, MT (ALB)",
6908,"Townsend, MT (ALB)",
6909,"Divide, MT (ALB)",
6910,"St Regis, MT (ALB)",
6911,"Conrad, MT (ALB)",
6912,"Pablo, MT (ALB)",
6913,"Lima, MT (ALB)",
6914,"Belt, MT (ALB)",
6915,"Valier, MT (ALB)",
6916,"Manhattan, MT (ALB)",
6917,"Libby, MT (ALB)",
6918,"Three Forks, MT (ALB)",
6919,"Reserve, MT (ALB)",
6920,"Whitehall, MT (ALB)",
6921,"Drummond, MT (ALB)",
6922,"Columbus, MT (ALB)",
6923,"Joplin, MT (ALB)",
6924,"Troy, MT (ALB)",
6925,"Eureka, MT (ALB)",
6926,"Eureka Rural, MT (ALB)",
6927,"Malta, MT (ALB)",
6928,"White Sulphur Springs, MT (ALB)",
6929,"Cascade, MT (ALB)",
6930,"Polson, MT (ALB)",
6931,"Roundup, MT (ALB)",
6932,"Reedpoint, MT (ALB)",
6933,"Absarokee, MT (ALB)",
6934,"Clinton, MT (ALB)",
6935,"Sweetgrass, MT (ALB)",
6936,"North Cut Bank, MT (ALB)",
6937,"Kevin-Oilmont, MT (ALB)",
6938,"Browning, MT (ALB)",
6939,"Ethridge, MT (ALB)",
6940,"Hysham, MT (ALB)",
6941,"Wyola, MT (ALB)",
6942,"Glendive (Mid-Rivers), MT (ALB)",
6943,"Rosebud, MT (ALB)",
6944,"Huntley, MT (ALB)",
6945,"Alta, MT (ALB)",
6946,"Lewistown, MT (ALB)",
6947,"Box Elder, MT (ALB)",
6948,"Harlem, MT (ALB)",
6949,"Rock Springs, MT (ALB)",
6950,"Rudyard, MT (ALB)",
6951,"Chinook, MT (ALB)",
6952,"Melstone, MT (ALB)",
6953,"Glendive, MT (ALB)",
6954,"Hamilton, MT (ALB)",
6955,"Lincoln, MT (ALB)",
6956,"Hinsdale, MT (ALB)",
6957,"North Glasgow, MT (ALB)",
6958,"Canyon Creek, MT (ALB)",
6959,"Kremlin, MT (ALB)",
6960,"Moore, MT (ALB)",
6961,"Gildford, MT (ALB)",
6962,"Big Sandy, MT (ALB)",
6963,"Turner, MT (ALB)",
6964,"Superior, MT (ALB)",
6965,"Dodson, MT (ALB)",
6966,"Westby, MT (ALB)",
6967,"Hopp-Illiad, MT (ALB)",
6968,"Hungry Horse, MT (ALB)",
6969,"Belgrade, MT (ALB)",
6970,"South Havre, MT (ALB)",
6971,"North Wolf Point, MT (ALB)",
6972,"Somers, MT (ALB)",
6973,"North Havre, MT (ALB)",
6974,"Hingham, MT (ALB)",
6975,"Hays, MT (ALB)",
6976,"Deer Lodge, MT (ALB)",
6977,"Cooke City, MT (ALB)",
6978,"Victor, MT (ALB)",
6979,"Bigfork, MT (ALB)",
6980,"South Miles City, MT (ALB)",
6981,"Hobson, MT (ALB)",
6982,"Shelby, MT (ALB)",
6983,"Red Lodge, MT (ALB)",
6984,"South Broadus, MT (ALB)",
6985,"Grass Range, MT (ALB)",
6986,"Winnett, MT (ALB)",
6987,"Devon, MT (ALB)",
6988,"Sidney (Mid-Rivers), MT (ALB)",
6989,"Broadus, MT (ALB)",
6990,"North Poplar, MT (ALB)",
6991,"South Chester, MT (ALB)",
6992,"Winifred, MT (ALB)",
6993,"Power, MT (ALB)",
6994,"Roy, MT (ALB)",
6995,"Choteau, MT (ALB)",
6996,"Fairfield, MT (ALB)",
6997,"Pendroy, MT (ALB)",
6998,"Dupuyer, MT (ALB)",
6999,"Judith Gap, MT (ALB)",
7000,"Flaxville, MT (ALB)",
7001,"Dutton, MT (ALB)",
7002,"Lame Deer, MT (ALB)",
7003,"Sidney, MT (ALB)",
7004,"Dagmar, MT (ALB)",
7005,"Crooked Creek, MT (ALB)",
7006,"Circle, MT (ALB)",
7007,"Fallon, MT (ALB)",
7008,"Scobey, MT (ALB)",
7009,"Avon, MT (ALB)",
7010,"Frenchtown, MT (ALB)",
7011,"Culbertson, MT (ALB)",
7012,"Gallatin Gateway, MT (ALB)",
7013,"Valley Industrial Park, MT (ALB)",
7014,"South Wolf Point, MT (ALB)",
7015,"Fort Peck, MT (ALB)",
7016,"Saco, MT (ALB)",
7017,"Ronan, MT (ALB)",
7018,"Laurel, MT (ALB)",
7019,"Lewistown (Mid-Rivers), MT (ALB)",
7020,"Melville, MT (ALB)",
7021,"North Broadus, MT (ALB)",
7022,"Jordan, MT (ALB)",
7023,"Anaconda, MT (ALB)",
7024,"Augusta, MT (ALB)",
7025,"Stanford, MT (ALB)",
7026,"Denton, MT (ALB)",
7027,"Ryegate, MT (ALB)",
7028,"West Squaw Gap, MT (ALB)",
7029,"Finley Point, MT (ALB)",
7030,"Martinsdale, MT (ALB)",
7031,"Silvertip, MT (ALB)",
7032,"North Ryegate, MT (ALB)",
7033,"Wilsall, MT (ALB)",
7034,"Bloomfield, MT (ALB)",
7035,"Lindsay, MT (ALB)",
7036,"Carlyle, MT (ALB)",
7037,"Busby, MT (ALB)",
7038,"Dillon, MT (ALB)",
7039,"Swan Lake, MT (ALB)",
7040,"Fort Benton, MT (ALB)",
7041,"Hardin, MT (ALB)",
7042,"Stevensville, MT (ALB)",
7043,"East Conrad, MT (ALB)",
7044,"Elmo, MT (ALB)",
7045,"Harlowton, MT (ALB)",
7046,"Terry (Mid-Rivers), MT (ALB)",
7047,"Lavina, MT (ALB)",
7048,"Terry, MT (ALB)",
7049,"Lodge Grass, MT (ALB)",
7050,"West Yellowstone, MT (ALB)",
7051,"North Parkman, MT (ALB)",
7052,"Charlo, MT (ALB)",
7053,"North Hinsdale, MT (ALB)",
7054,"Wolf Point, MT (ALB)",
7055,"South Malta, MT (ALB)",
7056,"Bridger, MT (ALB)",
7057,"Rapelje, MT (ALB)",
7058,"Belfry, MT (ALB)",
7059,"Fort Smith, MT (ALB)",
7060,"Broadview, MT (ALB)",
7061,"Fromberg, MT (ALB)",
7062,"Molt, MT (ALB)",
7063,"Whitewater, MT (ALB)",
7064,"Haugan, MT (ALB)",
7065,"Grant, MT (ALB)",
7066,"Ennis, MT (ALB)",
7067,"Twin Bridges, MT (ALB)",
7068,"Harrison, MT (ALB)",
7069,"Clyde Park, MT (ALB)",
7070,"West Glendive, MT (ALB)",
7071,"Wisdom, MT (ALB)",
7072,"Yellow Bay, MT (ALB)",
7073,"Warm Springs, MT (ALB)",
7074,"Frazer, MT (ALB)",
7075,"Lakeside, MT (ALB)",
7076,"Darby, MT (ALB)",
7077,"Alberton, MT (ALB)",
7078,"Glentana, MT (ALB)",
7079,"Larslan, MT (ALB)",
7080,"Arlee, MT (ALB)",
7081,"Whitefish, MT (ALB)",
7082,"St Mary, MT (ALB)",
7083,"Highwood, MT (ALB)",
